estacao,codigo,estado
VICOSA,A510,MG
ANGRA DOS REIS,A628,RJ
ARRAIAL DO CABO,A606,RJ
CAMBUCI,A604,RJ
CAMPOS DOS GOYTACAZES,A607,RJ
CAMPOS DOS GOYTACAZES - SAO TOME,A620,RJ
CARMO,A629,RJ
DUQUE DE CAXIAS - XEREM,A603,RJ
ENGENHO DE DENTRO,A655,RJ
ESCOLA NAVAL,A651,RJ
ITATIAIA,A635,RJ
JACAREPAGUA,A654,RJ
LAGOA R.DE FREITAS,A653,RJ
MACAE,A608,RJ
MARACANA,A656,RJ
NITEROI,A605,RJ
NITEROI,A627,RJ
NOVA FRIBURGO - SALINAS,A624,RJ
PARATI,A619,RJ
PICO DO COUTO,A610,RJ
RESENDE,A609,RJ
RIO CLARO,A626,RJ
RIO DE JANEIRO - FORTE DE COPACABANA,A652,RJ
RIO DE JANEIRO - JACAREPAGUA,A636,RJ
RIO DE JANEIRO - VILA MILITAR,A621,RJ
RIO DE JANEIRO-MARAMBAIA,A602,RJ
SANTA MARIA MADALENA,A630,RJ
SAQUAREMA - SAMPAIO CORREIA,A667,RJ
SEROPEDICA-ECOLOGIA AGRICOLA,A601,RJ
SILVA JARDIM,A659,RJ
TERESOPOLIS-PARQUE NACIONAL,A618,RJ
TRES RIOS,A625,RJ
VALENCA,A611,RJ
ARIRANHA,A736,SP
AVARE,A725,SP
BARRA BONITA,A741,SP
BARRA DO TURVO,A746,SP
BARRETOS,A748,SP
BARUERI,A755,SP
BAURU,A705,SP
BEBEDOURO,A764,SP
BERTIOGA,A765,SP
BRAGANCA PAULISTA,A744,SP
CACHOEIRA PAULISTA,A769,SP
CAMPOS DO JORDAO,A706,SP
CASA BRANCA,A738,SP
DRACENA,A762,SP
FRANCA,A708,SP
IBITINGA,A737,SP
IGUAPE,A712,SP
ITAPEVA,A714,SP
ITAPIRA,A739,SP
ITUVERAVA,A753,SP
JALES,A733,SP
JOSE BONIFACIO,A735,SP
LINS,A727,SP
MARILIA,A763,SP
MOELA,A745,SP
OURINHOS,A716,SP
PIRACICABA,A726,SP
PRADOPOLIS,A747,SP
PRESIDENTE PRUDENTE,A707,SP
RANCHARIA,A718,SP
REGISTRO,A766,SP
SAO CARLOS,A711,SP
SAO LUIS DO PARAITINGA,A740,SP
SAO MIGUEL ARCANJO,A715,SP
SAO PAULO - INTERLAGOS,A771,SP
SAO PAULO - MIRANTE,A701,SP
SAO SEBASTIAO,A767,SP
SAO SIMAO,A770,SP
SOROCABA,A713,SP
TAUBATE,A728,SP
TUPA,A768,SP
VALPARAISO,A734,SP
VOTUPORANGA,A729,SP
AGUAS EMENDADAS,A045,DF
BRASILIA,A001,DF
BRAZLANDIA,A042,DF
FACULDADE DA TERRA DE BRASILIA,A008,DF
GAMA (PONTE ALTA),A046,DF
PARANOA (COOPA-DF),A047,DF
ALTO PARAISO DE GOIAS,A024,GO
ARAGARCAS,A013,GO
CAIAPONIA,A023,GO
CATALAO,A034,GO
CRISTALINA,A036,GO
CRISTALINA (FAZENDA SANTA MONICA),A056,GO
CRIXAS,A006,GO
EDEIA,A029,GO
FAINA,A007,GO
GOIANESIA,A022,GO
GOIANIA,A002,GO
GOIAS,A014,GO
IPORA,A028,GO
ITAPACI,A015,GO
ITUMBIARA,A035,GO
JATAI,A016,GO
LUZIANIA,A012,GO
MINEIROS,A026,GO
MONTE ALEGRE DE GOIAS,A032,GO
MORRINHOS,A003,GO
NIQUELANDIA,A004,GO
PARAUNA,A027,GO
PIRES DO RIO,A033,GO
PORANGATU,A005,GO
POSSE,A017,GO
RIO VERDE,A025,GO
SAO MIGUEL DO ARAGUAIA,A031,GO
SAO SIMAO,A011,GO
SILVANIA,A037,GO
AGUA CLARA,A756,MS
AMAMBAI,A750,MS
ANGELICA,S701,MS
AQUIDAUANA,A719,MS
ARAL MOREIRA,S702,MS
BANDEIRANTES,S703,MS
BATAGUASSU,A759,MS
BELA VISTA,A757,MS
BONITO,S704,MS
BRASILANDIA,S705,MS
CAARAPO,S706,MS
CAMAPUA,S707,MS
CAMPO GRANDE,A702,MS
CASSILANDIA,A742,MS
CHAPADAO DO SUL,A730,MS
CORUMBA,A724,MS
COSTA RICA,A760,MS
COXIM,A720,MS
DOURADOS,A721,MS
FATIMA DO SUL,S708,MS
IGUATEMI,S709,MS
ITAPORA,S710,MS
ITAQUIRAI,A752,MS
IVINHEMA,A709,MS
JARDIM,A758,MS
JUTI,A749,MS
LAGUNA CARAPA,S711,MS
MARACAJU,A731,MS
MIRANDA,A722,MS
NHUMIRIM,A717,MS
NOVA ALVORADA DO SUL,S712,MS
NOVA ANDRADINA,S713,MS
PARANAIBA,A710,MS
PEDRO GOMES,S714,MS
PONTA PORA,A703,MS
PORTO MURTINHO,A723,MS
RIBAS DO RIO PARDO,S715,MS
RIO BRILHANTE,A743,MS
SANTA RITA DO PARDO,S716,MS
SAO GABRIEL DO OESTE,A732,MS
SELVIRIA,S717,MS
SETE QUEDAS,A751,MS
SIDROLANDIA,A754,MS
SONORA,A761,MS
TRES LAGOAS,A704,MS
AGUA BOA,A908,MT
ALTA FLORESTA,A924,MT
ALTO ARAGUAIA,A909,MT
ALTO TAQUARI,A934,MT
APIACAS,A910,MT
BRASNORTE (NOVO MUNDO),A927,MT
CACERES,A941,MT
CAMPO NOVO DOS PARECIS,A905,MT
CAMPO VERDE,A912,MT
CARLINDA,A926,MT
COMODORO,A913,MT
CONFRESA,A918,MT
COTRIGUACU,A919,MT
CUIABA,A901,MT
GAUCHA DO NORTE,A930,MT
GUARANTA DO NORTE,A906,MT
GUIRATINGA,A932,MT
ITIQUIRA,A933,MT
JUARA,A914,MT
JUINA,A920,MT
NOVA MARINGA,A928,MT
NOVA UBIRATA,A929,MT
PARANATINGA,A915,MT
PONTES E LACERDA,A937,MT
PORTO ESTRELA,A935,MT
PRIMAVERA DO LESTE,A923,MT
QUERENCIA,A916,MT
RONDONOPOLIS,A907,MT
ROSARIO OESTE,A944,MT
S.J. DO RIO CLARO,A903,MT
SALTO DO CEU,A936,MT
SANTO ANTONIO DO LESTE,A931,MT
SAO FELIX DO ARAGUAIA,A921,MT
SAO JOSE DO XINGU,A942,MT
SAPEZAL,A911,MT
SERRA NOVA DOURADA,A943,MT
SINOP,A917,MT
SORRISO,A904,MT
TANGARA DA SERRA,A902,MT
VILA BELA DA SANTISSIMA TRINDADE,A922,MT
BRASILEIA,83010,AC
CRUZEIRO DO SUL,82704,AC
RIO BRANCO,82915,AC
SENA MADUREIRA,82913,AC
TARAUACA,82807,AC
BARCELOS,82113,AM
BENJAMIN CONSTANT,82410,AM
CARAUARI,82418,AM
COARI,82425,AM
CODAJAS,82326,AM
EIRUNEPE,82610,AM
ESC.AGROTEC.DE MANAUS,82047,AM
FONTE BOA,82212,AM
HUMAITA,82727,AM
IAUARETE,82067,AM
ITACOATIARA,82336,AM
LABREA,82723,AM
MANAUS,82331,AM
MANICORE,82533,AM
MOURA,82167,AM
PARICACHOEIRA,82100,AM
PARINTINS,82240,AM
RIO ICANA,82105,AM
SAO GABRIEL DA CACHOEIRA(UAUPES),82106,AM
SAO PAULO DE OLIVENCA,82303,AM
St. MARIA DA BOCA DO ACRE,82816,AM
StIZABEL DO RIO NEGRO,82108,AM
TARACUA,82103,AM
TEFE,82317,AM
AMAPA,82029,AP
CUPIXI,82093,AP
MACAPA,82098,AP
PORTO PLATON,82095,AP
SERRA DO NAVIO,82092,AP
ALTAMIRA,82353,PA
ALTO TAPAJOS,82741,PA
BELEM,82191,PA
BELTERRA,82246,PA
BREVES,82188,PA
CAMETA,82263,PA
CONCEICAO DO ARAGUAIA,82861,PA
ITAITUBA,82445,PA
MARABA,82562,PA
MONTE ALEGRE,82181,PA
OBIDOS,82178,PA
PORTO DE MOZ,82184,PA
SALINOPOLIS (2),82144,PA
SANTAREM (TAPERINHA),82243,PA
SAO FELIX DO XINGU,82668,PA
SOURE,82141,PA
TRACUATEUA,82194,PA
TRACUATEUA,82145,PA
TUCURUI,82361,PA
PORTO VELHO,82825,RO
BOA VISTA,82024,RR
CARACARAI,82042,RR
NORMANDIA,82014,RR
ARAGUAINA,82659,TO
GURUPI,83160,TO
PALMAS,83033,TO
PARANA,83231,TO
PEDRO AFONSO,82863,TO
PEIXE,83228,TO
PORTO NACIONAL,83064,TO
TAGUATINGA,83235,TO
AGUA BRANCA,82989,AL
ANADIA LIMOEIRO,82997,AL
ARAPIRACA,82995,AL
CORURIPE,83098,AL
MACEIO,82994,AL
MAJOR ISIDORO,82991,AL
MATA GRANDE,82988,AL
PALMEIRA DOS INDIOS,82992,AL
PAO DE ACUCAR,82990,AL
PILAR (MANGUABA),82998,AL
PORTO DE PEDRAS,82996,AL
ALAGOINHAS,83249,BA
BARRA,83179,BA
BARREIRAS,83236,BA
BOM JESUS DA LAPA,83288,BA
CAETITE,83339,BA
CAMACARI,83226,BA
CANAVIEIRAS,83398,BA
CARAIBA,82985,BA
CARAVELAS,83498,BA
CARINHANHA,83408,BA
CIPO,83192,BA
CORRENTINA,83286,BA
CRUZ DAS ALMAS,83222,BA
FEIRA DE SANTANA,83221,BA
GUARATINGA,83446,BA
ILHEUS,83348,BA
IRECE,83182,BA
ITABERABA,83244,BA
ITABUNA,83347,BA
ITAPARICA,83227,BA
ITIRUCU (JAGUAQUARA),83295,BA
ITUACU,83292,BA
JACOBINA,83186,BA
LENCOIS,83242,BA
MATA DE SAO JOAO,83225,BA
MONTE SANTO,83090,BA
MORRO DO CHAPEU,83184,BA
MUCURI,83549,BA
PARATINGA,83238,BA
PAULO AFONSO,82986,BA
PITANGUEIRAS(SV-BA),83230,BA
REMANSO,82979,BA
RIO REAL,83194,BA
S.FRANCISCO DO CONDE,83223,BA
S.GONCAL.DOS CAMPOS,83247,BA
SALVADOR (ONDINA),83229,BA
SENHOR DO BONFIM,83088,BA
SERRINHA,83190,BA
STa. R. DE CASSIA (IBIPETUBA),83076,BA
STo ANTONIO DE JESUS,83297,BA
VITORIA DA CONQUISTA,83344,BA
ACARAU,82294,CE
ARACATI,82491,CE
BARBALHA,82784,CE
CAMPOS SALES,82777,CE
CRATEUS,82583,CE
FORTALEZA,82397,CE
FORTALEZA-UFCE,82396,CE
GUARAMIRANGA,82487,CE
IGUATU,82686,CE
JAGUARUANA,82493,CE
JUAZEIRO DO NORTE,82785,CE
MORADA NOVA,82588,CE
QUIXADA,82486,CE
QUIXERAMOBIM,82586,CE
SOBRAL,82392,CE
TAUA,82683,CE
VICOSA DO CEARA,82390,CE
ALTO PARNAIBA,82970,MA
BACABAL,82460,MA
BALSAS,82768,MA
BARRA DO CORDA,82571,MA
CAROLINA,82765,MA
CAXIAS,82476,MA
CHAPADINHA,82382,MA
COLINAS,82676,MA
GRAJAU,82568,MA
IMPERATRIZ,82564,MA
SAO BENTO,82279,MA
SAO LUIS,82280,MA
TURIACU,82198,MA
ZE DOCA,82376,MA
AREIA,82696,PB
CAMARATUBA,82695,PB
CAMPINA GRANDE,82795,PB
GUARABIRA,82697,PB
JOAO PESSOA,82798,PB
MONTEIRO,82792,PB
PATOS,82791,PB
SAO GONCALO,82689,PB
UMBUZEIRO,82779,PB
ARCOVERDE,82890,PE
CABROBO,82886,PE
CARUARU,82895,PE
FLORESTA,82887,PE
GARANHUNS,82893,PE
GOIANA,82799,PE
NAZARE DA MATA,82781,PE
OLINDA,82898,PE
OURICURI,82753,PE
PESQUEIRA,82892,PE
PETROLANDIA,82987,PE
PETROLINA,82983,PE
RECIFE (CURADO),82900,PE
SURUBIM,82797,PE
TAPACURA,82897,PE
TRIUNFO,82789,PE
ALTO LONGA (PILOTO DO LONGA),82605,PI
BOM JESUS DO PIAUI,82975,PI
CALDEIRAO,82474,PI
CARACOL,82976,PI
ESPERANTINA,82298,PI
FLORIANO,82678,PI
LUZILANDIA(LAG.DO PIAUI),82296,PI
MORRO DOS CAVALOS,82684,PI
PARNAIBA,82287,PI
PAULISTANA,82882,PI
PICOS,82780,PI
PIRIPIRI,82480,PI
SAO FELIX DO PIAUI,82669,PI
SAO JOAO DO PIAUI,82879,PI
TERESINA,82578,PI
URUCUI,82771,PI
VALE DO GURGUEIA (CRISTIANO CASTRO),82870,PI
ALAGAMAR CIRNE(MACAU),82601,RN
APODI,82590,RN
CEARA MIRIM,82596,RN
CRUZETA,82693,RN
FLORANIA,82691,RN
MACAIBA,82597,RN
MACAU,82594,RN
MOSSORO,82591,RN
NATAL,82598,RN
NOVA CRUZ,82698,RN
SERIDO (CAICO),82690,RN
ARACAJU,83096,SE
ITABAIANINHA,83195,SE
PROPRIA,83097,SE
BACACHERI,83841,PR
CAMPO LARGO,83839,PR
CAMPO MOURAO,83783,PR
CAMPO TENENTE,83077,PR
CASCAVEL,83830,PR
CASTRO,83813,PR
COLOMBO,83080,PR
CORNELIO PROCOPIO,83661,PR
CURITIBA,83842,PR
FOZ DO IGUACU,83826,PR
GUAIRA,83775,PR
GUARAPUAVA,83834,PR
IRATI,83836,PR
IVAI,83811,PR
JACAREZINHO,83769,PR
JAGUARIAIVA,83814,PR
LOANDA,83041,PR
LONDRINA,83766,PR
MARINGA,83767,PR
PALMAS,83860,PR
PALOTINA,83062,PR
PARANAGUA,83844,PR
PONTA GROSSA,83837,PR
RIO NEGRO,83867,PR
SAO MATEUS DO SUL,83025,PR
TOLEDO,83828,PR
ALEGRETE,83931,RS
ANTONIO PRADO,83917,RS
BAGE,83980,RS
BARRA DO RIO GRANDE,83994,RS
BENTO GONCALVES,83941,RS
BOM JESUS,83919,RS
CACAPAVA DO SUL,83959,RS
CACEQUI,83955,RS
CACHOEIRA DO SUL,83963,RS
CAMAQUA,83978,RS
CAMBARA DO SUL,83946,RS
CAMPO BOM,83961,RS
CANELA,83944,RS
CAXIAS DO SUL,83942,RS
CRUZ ALTA,83912,RS
DOM PEDRITO,83956,RS
ENCRUZILHADA DO SUL,83964,RS
GUAPORE,83915,RS
IBIRUBA,83932,RS
IRAI,83881,RS
ITAQUI,83929,RS
JAGUARAO,83992,RS
JULIO DE CASTILHO,83935,RS
LAGOA VERMELHA,83916,RS
LAJEADO,83950,RS
MARCELINO RAMOS,83885,RS
MORRO DE SANTA TEREZA,83960,RS
NOVO HAMBURGO,83951,RS
PALMEIRA DAS MISSOES,83880,RS
PANAMBI,83910,RS
PASSO FUNDO,83914,RS
PELOTAS,83985,RS
PIRATINI,83983,RS
PORTO ALEGRE,83967,RS
PORTO LUCENA,83892,RS
RIO GRANDE,83995,RS
SANTA CRUZ DO SUL,83939,RS
SANTA MARIA,83936,RS
SANTA ROSA,83876,RS
SANTA VITORIA DO PALMAR,83997,RS
SANTANA DA BOA VISTA,83976,RS
SANTANA DO LIVRAMENTO,83953,RS
SANTIAGO,83933,RS
SANTO ANGELO,83909,RS
SAO BORJA,83901,RS
SAO FRANCISCO DE PAULA,83945,RS
SAO GABRIEL,83957,RS
